('default', [[2, 11], [9, 6], [7, 7], [6, 8], [0, 11], [5, 9], [4, 12], [1, 16], [11, 11], [10, 7], [3, 11], [8, 9], [6, 2], [7, 2], [1, 6], [2, 2], [3, -4], [4, -1], [5, -3], [0, 5]], 36.359999895095825)
[23.48, 'move', [-9, -56, 17], [19, -19, -53], [-56, 3, -21]]
[23.52, 'move', [-9, -56, 17], [28, -19, -48], [-51, 0, -30]]
[23.55, 'move', [-9, -56, 17], [37, -19, -42], [-46, -3, -38]]
[23.56, 'move', [-9, -56, 17], [44, -18, -35], [-38, -7, -45]]
[23.59, 'move', [-9, -56, 17], [50, -16, -27], [-30, -10, -50]]
[23.61, 'move', [-9, -56, 17], [55, -14, -18], [-21, -12, -54]]
[24.23, 'move', [-9, -56, 17], [50, -16, -27], [-30, -10, -50]]
[24.27, 'move', [-9, -56, 17], [44, -18, -35], [-38, -7, -45]]
[24.30, 'move', [-9, -56, 17], [37, -19, -42], [-46, -3, -38]]
[24.31, 'move', [-9, -56, 17], [28, -19, -48], [-51, 0, -30]]
[25.00, 'turn', 'R3']
[25.05, 'move', [-9, -56, 17], [37, -19, -42], [-46, -3, -38]]
[25.08, 'move', [-9, -56, 17], [44, -18, -35], [-38, -7, -45]]
[25.09, 'move', [-9, -56, 17], [50, -16, -27], [-30, -10, -50]]
[25.13, 'move', [-9, -56, 17], [55, -14, -18], [-21, -12, -54]]
[25.16, 'move', [-9, -56, 17], [58, -12, -8], [-11, -15, -56]]
[25.17, 'move', [-9, -56, 17], [59, -9, 1], [-1, -17, -57]]
[25.20, 'move', [-9, -56, 17], [58, -6, 11], [9, -18, -56]]
[25.27, 'turn', 'R3']
[25.47, 'turn', 'D3']
[25.55, 'turn', 'R1']
[25.73, 'turn', 'D1']
[25.78, 'move', [-9, -56, 17], [59, -9, 1], [-1, -17, -57]]
[25.81, 'move', [-9, -56, 17], [58, -12, -8], [-11, -15, -56]]
